OTU,Sample,Abundance,Label,Sample_type,Type,Sequencing_Run,Mouse,Genotype,Sex,Diet,Intranasal_Treatment,Surgery,Week
Erysipelotrichaceae,SRR29055093,0.013709121543999387,233,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,13
Marinifilaceae,SRR29055183,0.013704250779583128,270,Fecal,True Sample,2,JI-754,WT,Female,High_Fat_Diet,PBS,VSG,10
Saccharimonadaceae,SRR29055079,0.013672668200893462,247,Fecal,True Sample,2,JI-739,WT,Male,High_Fat_Diet,PBS,VSG,10
Desulfovibrionaceae,SRR29055106,0.013662359669561534,9,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,13
Eggerthellaceae,SRR29055094,0.013605442176870748,232,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,10
Eggerthellaceae,SRR29055174,0.013602941176470588,278,Fecal,True Sample,2,JI-730,KO,Male,High_Fat_Diet,HDM,None,0
Helicobacteraceae,SRR29055030,0.013575297179433073,34,Fecal,True Sample,2,JI-676,KO,Male,High_Fat_Diet,PBS,VSG,13
Atopobiaceae,SRR29055093,0.013555947001608332,233,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,13
Desulfovibrionaceae,SRR29054914,0.01354941551540914,215,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,0
Eggerthellaceae,SRR29054980,0.013515295358649789,315,Fecal,True Sample,2,JI-758,KO,Female,Normal_Chow,PBS,None,10
Prevotellaceae,SRR29055130,0.013513513513513514,60,Fecal,True Sample,2,JI-682,WT,Female,High_Fat_Diet,PBS,Sham,0
Atopobiaceae,SRR29055129,0.013511911816996562,61,Fecal,True Sample,2,JI-687,KO,Female,High_Fat_Diet,HDM,Sham,0
Eggerthellaceae,SRR29054979,0.013502218221564971,19,Fecal,True Sample,2,JI-656,KO,Male,High_Fat_Diet,PBS,None,10
Helicobacteraceae,SRR29055110,0.013481675392670157,204,Fecal,True Sample,2,JI-725,WT,Female,Normal_Chow,PBS,None,10
Prevotellaceae,SRR29055169,0.013455743219566893,284,Fecal,True Sample,2,JI-763,KO,Female,High_Fat_Diet,HDM,None,0
Eggerthellaceae,SRR29055024,0.013424471950243242,40,Fecal,True Sample,2,JI-647,WT,Male,Normal_Chow,PBS,None,10
Sutterellaceae,SRR29054995,0.013405292479108636,301,Fecal,True Sample,2,JI-748,KO,Male,Normal_Chow,HDM,None,0
Eggerthellaceae,SRR29054913,0.013390366375302214,216,Fecal,True Sample,2,JI-760,WT,Female,High_Fat_Diet,HDM,None,0
Rikenellaceae,SRR29055169,0.01338566122363165,284,Fecal,True Sample,2,JI-763,KO,Female,High_Fat_Diet,HDM,None,0
Eggerthellaceae,SRR29055076,0.013366601318837996,249,Fecal,True Sample,2,JI-739,WT,Male,High_Fat_Diet,PBS,VSG,0
Desulfovibrionaceae,SRR29055074,0.013318347850519809,252,Fecal,True Sample,2,JI-735,KO,Female,High_Fat_Diet,HDM,Sham,13
Desulfovibrionaceae,SRR29055097,0.013306908267270668,229,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,0
Eggerthellaceae,SRR29054917,0.013299301450832886,212,Fecal,True Sample,2,JI-728,WT,Female,Normal_Chow,HDM,None,0
Eggerthellaceae,SRR29055011,0.01326635126566844,6,Fecal,True Sample,2,JI-652,KO,Male,High_Fat_Diet,HDM,None,10
Eggerthellaceae,SRR29055021,0.013195044655718814,42,Fecal,True Sample,2,JI-690,WT,Male,High_Fat_Diet,PBS,Sham,13
Marinifilaceae,SRR29055011,0.013168804565185583,6,Fecal,True Sample,2,JI-652,KO,Male,High_Fat_Diet,HDM,None,10
Oscillospiraceae,SRR29055115,0.013167482044342666,73,Fecal,True Sample,2,JI-684,KO,Female,Normal_Chow,PBS,None,0
Oscillospiraceae,SRR29054914,0.013150903294367694,215,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,0
Helicobacteraceae,SRR29054910,0.013147952244219436,218,Fecal,True Sample,2,JI-761,WT,Female,High_Fat_Diet,PBS,None,13
Desulfovibrionaceae,SRR29055058,0.01314365238905211,334,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,10
